label,benchmark,sf,threads,query,med_c1,med_c2,med_c3,med_c4,best_c1,best_c2,best_c3,best_c4,insurance,insurance_fwd,residual_qo,residual_qo_c1,pt_replaces_qo,backward_extra
job_t1,job,0,1,13c,1.12,0.24,0.24,0.2,0.51,0.2,0.2,0.19,5.6000000000000005,4.666666666666667,1.0526315789473684,2.196078431372549,0.39215686274509803,1.2
job_t1,job,0,1,13d,3.02,1.17,1.26,1.19,1.21,0.94,0.96,0.88,2.5378151260504205,2.5811965811965814,1.3522727272727273,2.4958677685950414,0.9834710743801652,0.9831932773109243
job_t1,job,0,1,14a,2.035,0.24,0.24,0.23,0.52,0.22,0.22,0.21,8.847826086956522,8.479166666666668,1.0952380952380953,3.9134615384615388,0.4423076923076923,1.0434782608695652
job_t1,job,0,1,14b,1.8250000000000002,0.24,0.24,0.24,0.41,0.23,0.23,0.23,7.604166666666668,7.604166666666668,1.0434782608695652,4.451219512195123,0.5853658536585366,1.0
job_t1,job,0,1,14c,2.255,0.4,0.41,0.32,0.79,0.31,0.31,0.31,7.046874999999999,5.637499999999999,1.032258064516129,2.854430379746835,0.4050632911392405,1.25
job_t1,job,0,1,15a,1.49,0.9,0.905,0.83,0.88,0.89,0.88,0.81,1.7951807228915664,1.6555555555555554,1.0246913580246912,1.6931818181818181,0.9431818181818181,1.0843373493975905
job_t1,job,0,1,15b,1.38,0.71,0.69,0.665,0.59,0.6,0.61,0.61,2.0751879699248117,1.9436619718309858,1.0901639344262295,2.3389830508474576,1.1271186440677967,1.0676691729323307
job_t1,job,0,1,15c,1.51,0.86,0.855,0.71,0.77,0.79,0.79,0.69,2.126760563380282,1.755813953488372,1.028985507246377,1.961038961038961,0.922077922077922,1.2112676056338028
job_t1,job,0,1,15d,0.92,0.73,0.725,0.515,0.6,0.63,0.6,0.48,1.7864077669902914,1.2602739726027399,1.0729166666666667,1.5333333333333334,0.8583333333333334,1.4174757281553398
job_t1,job,0,1,16a,6.27,1.26,1.28,0.92,3.18,0.94,0.94,0.83,6.815217391304347,4.976190476190475,1.108433734939759,1.9716981132075468,0.2893081761006289,1.3695652173913042
job_t1,job,0,1,16b,167.66,4.73,4.87,4.295,17.32,3.04,3.21,2.46,39.036088474970896,35.446088794926,1.7459349593495934,9.68013856812933,0.24797921478060045,1.10128055878929
job_t1,job,0,1,16c,20.405,2.54,2.6,2.215,10.53,1.5,1.51,1.18,9.212189616252823,8.033464566929133,1.8771186440677965,1.9377967711301047,0.21035137701804368,1.146726862302483
job_t1,job,0,1,16d,19.67,2.45,2.49,2.16,9.49,1.45,1.43,1.13,9.106481481481481,8.028571428571428,1.9115044247787614,2.0727081138040044,0.22760800842992626,1.1342592592592593
job_t1,job,0,1,17a,23.84,2.085,2.25,2.0549999999999997,3.38,1.31,1.35,1.31,11.600973236009734,11.434052757793765,1.5687022900763357,7.053254437869823,0.6079881656804733,1.0145985401459856
job_t1,job,0,1,17b,12.525,1.455,1.475,1.7850000000000001,1.76,1.13,1.13,1.34,7.016806722689076,8.608247422680412,1.332089552238806,7.1164772727272725,1.0142045454545456,0.8151260504201681
job_t1,job,0,1,17c,12.18,0.95,0.94,0.765,1.57,0.76,0.77,0.72,15.921568627450979,12.821052631578947,1.0625,7.75796178343949,0.4872611464968153,1.2418300653594772
job_t1,job,0,1,17d,15.43,1.355,1.37,1.18,2.3,1.18,1.19,1.05,13.076271186440678,11.387453874538746,1.1238095238095238,6.708695652173914,0.5130434782608696,1.1483050847457628
job_t1,job,0,1,17e,127.67,3.635,3.91,3.135,12.07,2.43,2.44,2.16,40.72408293460926,35.12242090784044,1.4513888888888886,10.577464788732394,0.2597348798674399,1.1594896331738438
job_t1,job,0,1,17f,31.935,2.005,2.01,1.8050000000000002,6.62,1.8,1.83,1.52,17.692520775623265,15.927680798004987,1.1875,4.824018126888217,0.27265861027190336,1.1108033240997228
job_t1,job,0,1,18a,2.0149999999999997,1.54,1.51,1.39,1.41,1.38,1.41,1.31,1.449640287769784,1.3084415584415583,1.0610687022900762,1.429078014184397,0.9858156028368794,1.1079136690647482
